Numer_zgloszenia;Numer_prawa_wylacznego;Data_Zgloszenia;Numer_BUP;Data_Publikacji_BUP;Numer_WUP;Data_Publikacji_WUP;Nazwa_znaku;Rodzaj_znaku;Uprawnieni;Miasto_uprawnionego;Kraj_uprawnionego;Pelnomocnicy;Klasyfikacja_nicejska;Klasyfikacja_wiedenska;Status_sprawy;
011986;011746;1921-06-04;;;03/1926;1926-03-31;LUX;S;UNILEVER N.V.;ROTTERDAM;NL;Marcin Fijałkowski Baker McKenzie Gruszczyński i Wspólnicy Kancelaria Prawna Sp.k.;NIC: 03 05 ;;Udzielenie prawa;
011987;011747;1921-06-04;;;03/1926;1926-03-31;SUNLIGHT;S;UNILEVER N.V.;ROTTERDAM;NL;Marcin Fijałkowski Baker McKenzie Gruszczyński i Wspólnicy Kancelaria Prawna Sp.k.;NIC: 01 03 04 05 32 34 ;;Udzielenie prawa;
012011;008930;1921-06-06;;;10/1925;1925-10-31;PEARS;SG;Unilever N.V.;Rotterdam;NL;Kulikowska & Kulikowski;NIC: 01 03 04 05 32 ;VIE: 0507 2501 2601 2705 ;Wygaśnięcie prawa ochronnego;
012015;011749;1921-06-07;;;03/1926;1926-03-31;VIM;S;GUABER S.R.L.;FUNO DI ARGELATO;IT;Lidia Bańkowska PATPOL Spółka z o.o.;NIC: 03 04 ;;Wygaśnięcie prawa ochronnego;
012096;008976;1921-06-23;;;10/1925;1925-10-31;g;G;STEINWAY & SONS;NOWY JORK;US;Bartosz Krakowiak Polservice Sp. z o.o.;NIC: 15 ;VIE: 2201 ;Udzielenie prawa;
012097;008977;1921-06-23;;;10/1925;1925-10-31;STEINWAY & SONS;S;STEINWAY & SONS;NOWY JORK;US;Bartosz Krakowiak Polservice Sp. z o.o.;NIC: 15 ;;Udzielenie prawa;
012098;008978;1921-06-23;;;10/1925;1925-10-31;STEINWAY;SG;STEINWAY & SONS;NOWY JORK;US;Bartosz Krakowiak Polservice Sp. z o.o.;NIC: 15 ;VIE: 2705 ;Udzielenie prawa;
012172;009049;1921-07-06;;;10/1925;1925-10-31;GILLETTE;S;THE GILLETTE COMPANY;BOSTON;US;Wanda Kulikowska Kulikowska i Kulikowski Sp. j.;NIC: 08 ;;Udzielenie prawa;
012177;009050;1921-07-07;;;;;TUXEDO;SG;The American Tobacco Company;Stamford;US;PHZ "Polservice";NIC: 34 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
012179;009051;1921-07-07;;;10/1925;1925-10-31;LIBERTY;SG;BATMARK, Inc.;Wilmington;US;"Polservice" Sp. z o.o.;NIC: 34 ;VIE: 0705 ;Wygaśnięcie prawa ochronnego;
012254;009111;1921-07-22;;;11/1925;1925-11-30;GENERAL MOTORS;S;GENERAL MOTORS LLC;DETROIT;US;Bartosz Krakowiak POLSERVICE Kancelaria Rzeczników Patentowych Spółka z o.o.;NIC: 12 ;;Udzielenie prawa;
012430;009217;1921-08-23;;;;;CARNATION BRAND;SG;Societe des Produits Nestle SA;Vevey;CH;PHZ "Polservice";NIC: 29 ;VIE: 0505 2001 2507 2705 ;Wygaśnięcie prawa ochronnego;
012507;009234;1921-09-06;;;11/1925;1925-11-30;;G;KRKONOSSKE PAPIRNY, AKCIOVA SPOLECNOST;HOSTINNE;CZ;PATPOL Spółka z o.o.;NIC: 16 ;VIE: 0307 ;Wygaśnięcie prawa ochronnego;
012683;011849;1921-10-07;;;;;SUNLIGHT SOAP;SG;Lever Nederland B.V.;Capelle a/d IJssel;NL;"Patpol" Sp. z o.o.;NIC: 03 ;VIE: 0203 0505 2501 2604 2705 2901 ;Wygaśnięcie prawa ochronnego;
012729;009369;1921-10-11;;;11/1925;1925-11-30;THE KEY;SG;EUROPEAN PROPERTY GROUP A.S.;BRNO;CZ;Karolina Marciniszyn Kochański Zięba Rapala i Partnerzy Spółka Jawna;NIC: 34 ;VIE: 1405 2501 2604 2705 2901 ;Udzielenie prawa;
012854;009455;1921-11-10;;;;;FRY;S;Cadbury Limited;Birmingham;GB;"Patpol" Sp.z o.o.;NIC: 30 ;;Wygaśnięcie prawa ochronnego;
012917;011899;1921-11-26;;;04/1926;1926-04-30;OMEGA;SG;Omega SA;Bienne;CH;"Patpol" Sp.z o.o.;NIC: 14 ;VIE: 2807 ;Wygaśnięcie prawa ochronnego;
013086;009635;1921-12-30;;;11/1925;1925-11-30;MILKA;S;KRAFT FOODS SCHWEIZ HOLDING GMBH;ZUG;CH;Wanda Kulikowska Kulikowska i Kulikowski;NIC: 30 ;;Udzielenie prawa;
013087;009636;1921-12-30;;;;;VELMA;S;Kraft Jacobs Suchard AG /Kraft Jacobs Suchard SA /Kraft Jacobs Suchard Ltd;Zurich;CH;Kulikowska & Kulikowski;NIC: 30 ;;Wygaśnięcie prawa ochronnego;
013088;009637;1921-12-30;;;11/1925;1925-11-30;SUCHARD;S;KRAFT FOODS SCHWEIZ HOLDING GMBH;ZUG;CH;WANDA KULIKOWSKA;NIC: 30 ;;Udzielenie prawa;
013122;009652;1922-01-03;;;;;BITTRA;S;Chocolat Suchard S.A.;Neuchatel;CH;PHZ "Polservice";NIC: 30 ;;Wygaśnięcie prawa ochronnego;
013280;009710;1922-01-20;;;11/1925;1925-11-30;INTERNATIONAL;S;AKZO NOBEL COATINGS INTERNATIONAL B.V.;ARNHEM;NL;;NIC: 02 ;;Udzielenie prawa;
013527;011953;1922-02-27;;;;;CIGARETTES LAURENS;S;ED LAURENS, Limited;Zug;CH;Kulikowska & Kulikowski;NIC: 34 ;;Wygaśnięcie prawa ochronnego;
013626;010006;1922-03-07;;;12/1925;1925-12-31;VENUS;S;BEROL CORPORATION;FREEPORT;US;Magdalena Pietrosiuk Jan Wierzchoń Partnerzy-Biuro Patentów i Znaków Towarowych, Sp. j.;NIC: 16 ;;Wygaśnięcie prawa ochronnego;
013773;010073;1922-03-23;;;;;D'ORSAY;S;Compagnie Francaise des Parfums D'Orsay;Asniere;FR;PHZ "Polservice";NIC: 03 ;;Wygaśnięcie prawa ochronnego;
013777;010077;1922-03-23;;;12/1925;1925-12-31;PIRELLI;S;PIRELLI & C.S.P.A.;MEDIOLAN;IT;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 12 17 ;;Udzielenie prawa;
013778;010084;1922-03-28;;;;;ŚNIEG TATRZAŃSKI;S;Fabryka Kosmetyków "Pollena-Lechia" S.A.;Poznań;PL;;NIC: 03 05 ;;Wygaśnięcie prawa ochronnego;
013861;011981;1922-04-07;;;;;ALFA-LAVAL;SG;Alfa-Laval Aktiebolag;Sztokholm;SE;PHZ "Polservice";NIC: 07 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
013862;010105;1922-04-07;;;12/1925;1925-12-31;MAIZENA;SG;Conopco, Inc.;Nowy Jork;US;Wanda Kulikowska Kulikowska i Kulikowski;NIC: 30 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
014340;010384;1922-06-23;;;12/1925;1925-12-31;PARKER;S;EUROPE BRANDS S.A R.L.;LUKSEMBURG;LU;Magdalena Pietrosiuk Jan Wierzchoń i Partnerzy Biuro Patentów i Znaków Towarowych Spółka Jawna;NIC: 16 ;;Wygaśnięcie prawa ochronnego;
014555;011640;1924-01-29;;;;;SUN - MAID;SG;Sun - Maid Growers of California;Kinsburg;US;"Patpol" Sp. z o.o.;NIC: 29 ;VIE: 0103 0203 0507 ;Wygaśnięcie prawa ochronnego;
014719;010618;1922-09-04;;;01/1926;1926-01-30;DARMOL;SG;DR.A & L SCHMIDGALL;WIEDEŃ;AT;Anna Burakowska PATPOL Spółka z o.o.;NIC: 05 ;VIE: 2601 2603 2705 ;Wygaśnięcie prawa ochronnego;
014720;010619;1922-09-04;;;01/1926;1926-01-30;YALE;S;NACCO MATERIALS HANDLING GROUP.INC.;PORTLAND;US;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 12 ;;Wygaśnięcie prawa ochronnego;
014725;011770;1922-09-06;;;;;FLAX;SG;Barbour Campbell Threads Limited;Glasgow;GB;PHZ "Polservice";NIC: 23 ;VIE: 0209 2705 ;Wygaśnięcie prawa ochronnego;
014804;010662;1922-09-26;;;;;B D A;SG;The Bradford Dyers'Association Limited;Bradford;GB;"Patpol" Sp. z o.o.;NIC: 24 25 ;VIE: 2005 2601 2705 2901 ;Wygaśnięcie prawa ochronnego;
014835;010683;1922-10-02;;;;;FREEZOMINT;SP;Pernod Ricard;Paryż;FR;PHZ "Polservice";NIC: 33 ;VIE: 1907 2005 ;Wygaśnięcie prawa ochronnego;
014854;010685;1922-10-04;;;;;WESTINGHOUSE;S;Westinghouse Electric Corporation;Pittsburgh;US;PHZ "Polservice";NIC: 09 11 12 ;;Wygaśnięcie prawa ochronnego;
014899;010728;1922-10-11;;;01/1926;1926-01-30;S;SG;SOLVAY;BRUKSELA;BE;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 01 ;VIE: 2415 2705 ;Wygaśnięcie prawa ochronnego;
014900;010729;1922-10-11;;;01/1926;1926-01-30;SOUDE SOLVAY;S;SOLVAY;Bruksela;BE;PHZ "Polservice";NIC: 01 ;;Wygaśnięcie prawa ochronnego;
014910;012015;1922-10-13;;;05/1926;1926-05-31;CHESEBROUGH'S Vaseline;SG;Unilever N.V.;Rotterdam;NL;Marcin Fijałkowski Baker  McKenzie Gruszczyński i Wspólnicy Kancelaria Prawna Sp.k.;NIC: 04 ;VIE: 0503 2705 ;Udzielenie prawa;
015014;000005;1922-11-03;;;10/1927;1927-10-31;DANSK SMOR;SG;MEJERIFORENINGEN DANISH DAIRY BOARD;Arhus;DK;PATPOL Spółka z o.o.;NIC: 29 30 ;VIE: 1903 ;Wygaśnięcie prawa ochronnego;
015043;012505;1922-11-08;;;;;MAJESTIC;S;COINTREAU S.A.;Saint Barthélémy d'Anjou;FR;PHZ "Polservice";NIC: 33 ;;Wygaśnięcie prawa ochronnego;
015045;012507;1922-11-08;;;07/1926;1926-07-31;CURSKY;S;COINTREAU S.A.;Saint Barthélémy d'Anjou;FR;PHZ "Polservice";NIC: 33 ;;Wygaśnięcie prawa ochronnego;
015094;010823;1922-11-25;;;01/1926;1926-01-30;ROVER;S;JAGUAR LAND ROVER LIMITED;WHITLEY;GB;Sławomir Mazur Polservice Kancelaria Rzeczników Patentowych Sp. z o.o.;NIC: 12 ;;Udzielenie prawa;
015123;012445;1922-11-29;;;06/1926;1926-06-30;CLEANSE THE LEPERS CAST OUT DEMONS HEAL THE SICK RAISE THE DEAD;SG;THE CHRISTIAN SCIENCE BOARD OF DIRECTORS OF THE FIRST CHURCH OF CHRIST SCIENTIST;BOSTON;US;Agnieszka Woszczak-Kamińska Patpol Sp. z o.o.;NIC: 16 ;VIE: 2409 2413 2601 2705 ;Wygaśnięcie prawa ochronnego;
015205;010890;1922-12-21;;;01/1926;1926-01-30;GRINNELL;S;WORMALD INDUSTRIAL PROPERTY LIMITED;MANCHESTER;GB;Marta Skrobot PATPOL Kancelaria Patentowa Sp. z o.o.;NIC: 09 ;;Wygaśnięcie prawa ochronnego;
015345;010960;1923-01-29;;;01/1926;1926-01-30;;G;COINTREAU;SAINT-BARTHELEMY D'ANJOU;FR;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 33 ;VIE: 2005 ;Udzielenie prawa;
015557;011013;1923-02-27;;;01/1926;1926-01-30;SOLEX;S;SINBAR;PARYŻ;FR;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 07 12 ;;Udzielenie prawa;
015891;011092;1923-04-18;;;;;GOOD YEAR;SG;The Goodyear Tire and Rubber Company;Akron;US;PHZ "Polservice";NIC: 17 25 ;VIE: 0209 0909 2501 2705 ;Wygaśnięcie prawa ochronnego;
015892;011093;1923-04-18;;;;;CYPEBS;SG;F.L.Smidth & Co. A/S;Jersey City;US;Polservice Sp. z o.o.;NIC: 07 ;;Wygaśnięcie prawa ochronnego;
015949;011146;1923-04-27;;;01/1926;1926-01-30;COLUMBIA;S;SONY MUSIC ENTERTAINMENT;NOWY JORK;US;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 09 ;;Wygaśnięcie prawa ochronnego;
016048;012311;1923-05-22;;;06/1926;1926-06-30;QUAKER;S;THE QUAKER OAST COMPANY;CHICAGO;US;;NIC: 30 ;;Udzielenie prawa;
016065;011191;1923-05-24;;;02/1926;1926-02-27;HOOVER;S;CANDY HOOVER GROUP S.R.L.;BRUGHERIO (MB);IT;;NIC: 08 ;;Udzielenie prawa;
016412;011364;1923-08-25;;;02/1926;1926-02-27;1850 HUTCHINSON PENTAGONE;SG;HATCHINSON;PARYŻ;FR;;NIC: 12 17 ;VIE: 2501 2605 2705 ;Udzielenie prawa;
016525;011435;1923-10-16;;;;;MUNSING WEAR;SG;Munsingwear,Inc.;Minneapolis;US;PHZ "Polservice";NIC: 25 ;VIE: 2401 2705 ;Wygaśnięcie prawa ochronnego;
016578;012140;1923-10-31;;;;;DE LAVAL;S;Alfa-Laval AB;Sztokholm;SE;PHZ "Polservice";NIC: 07 ;;Wygaśnięcie prawa ochronnego;
016621;013280;1923-11-24;;;;;BOJ;S;Societe Job,Anciens Etablissements Bardou-Job & Pauilhac;Tuluza;FR;PHZ "Polservice";NIC: 34 ;;Wygaśnięcie prawa ochronnego;
016623;011480;1923-11-24;;;;;INDIGOSOL;S;Sandoz A.G.;Basel;CH;"Patpol" Sp. z o.o.;NIC: 02 ;;Wygaśnięcie prawa ochronnego;
016880;011629;1924-02-29;;;03/1926;1926-03-31;BOVRIL;S;CONOPCO INC.;NA;;Marcin Fijałkowski;NIC: 29 30 ;;Udzielenie prawa;
016956;011690;1924-03-26;;;03/1926;1926-03-31;CYMA;S;UNIVERSAL GENEVE S.A.;MEYRIN;CH;Sławomir Nowicki;NIC: 14 ;;Udzielenie prawa;
017143;012271;1924-05-14;;;06/1926;1926-06-30;JOHNNIE WALKER;S;DIAGEO BRANDS B.V.;AMSTERDAM;NL;Kulikowska & Kulikowski WANDA KULIKOWSKA;NIC: 33 ;;Udzielenie prawa;
017300;012224;1923-05-19;;;06/1926;1926-06-30;HOUBIGANT;S;ROSEA HOLDING B.V.;WILLEMSTAD, CURACAO;AN;;NIC: 03 ;;Udzielenie prawa;
017303;012235;1924-06-14;;;06/1926;1926-06-30;TOKALON;S;Cooper Cosmetics S.A.;Genewa;CH;"Patpol" Sp. z o.o.;NIC: 03 ;;Wygaśnięcie prawa ochronnego;
017305;012113;1924-06-14;;;05/1926;1926-05-31;OVOMALTINE;S;Associated British Foods PLC;Londyn;GB;Magdalena Pietrosiuk Jan Wierzchoń  Partnerzy - Biuro Patentów i Znaków Towarowych, Sp. j.;NIC: 05 ;;Udzielenie prawa;
017532;012350;1924-08-23;;;06/1926;1926-06-30;KIWI;SG;S.C. JOHNSON & SON, INC.;RACINE;US;;NIC: 02 03 ;VIE: 0307 ;Udzielenie prawa;
017679;013735;1924-09-26;;;12/1926;1926-12-31;INNOXA;S;INNOXA MARKS PTY LIMITED;BROOKVALE;AU;;NIC: 03 05 21 ;;Udzielenie prawa;
017846;012839;1924-10-25;;;08/1926;1926-08-31;RR;SG;ROLLS-ROYCE MOTOR CARS LIMITED;Farnborough;;;NIC: 12 ;VIE: 2705 ;Udzielenie prawa;
017847;012840;1924-10-25;;;08/1926;1926-08-31;ROLLS - ROYCE;S;ROLLS-ROYCE MOTOR CARS LIMITED;Farnborough;;;NIC: 12 ;;Udzielenie prawa;
017869;012843;1924-10-30;;;08/1926;1926-08-31;SINGER;S;THE SINGER COMPANY LIMITED;DOUGLAS;GB;;NIC: 07 ;;Udzielenie prawa;
017910;014565;1924-11-10;;;03/1927;1927-03-31;CINZANO;S;Davide Campari – Milano S.p.A.;Sesto San Giovanni;IT;;NIC: 32 33 ;;Udzielenie prawa;
018073;012365;1924-12-17;;;06/1926;1926-06-30;CIBANON;SG;CIBA SPECIALTY CHEMICALS HOLDING INC.;BAZYLEA;CH;Wanda Kulikowska Kulikowska i Kulikowski;NIC: 02 ;VIE: 2604 2705 ;Wygaśnięcie prawa ochronnego;
018078;015147;1924-12-17;;;;;CIBA;SG;Ciba-Geigy AG, Ciba-Geigy SA, Ciba-Geigy Limited;Bazylea;CH;PHZ "Polservice";NIC: 05 ;VIE: 2604 2705 ;Wygaśnięcie prawa ochronnego;
018199;012787;1925-01-21;;;;;OVOMALTINE;SG;Wander AG (Wander SA, Wander Ltd.);Berno;CH;PHZ "Polservice";NIC: 05 ;VIE: 2005 2501 2604 2705 ;Wygaśnięcie prawa ochronnego;
018205;014982;1925-01-21;;;;;GIBB;SG;Unilever N.V.;Rotterdam;NL;Kulikowska & Kulikowski;NIC: 01 02 03 04 05 16 17 21 29 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
018208;012558;1925-01-21;;;;;VICTAULIC;S;The Victaulic Company PLC;Hitchin;GB;PHZ "Polservice";NIC: 06 07 08 09 11 17 19 21 ;;Wygaśnięcie prawa ochronnego;
018223;012854;1925-01-23;;;08/1926;1926-08-31;;G;SKODA A.S.;PILZNO;CZ;Patpol" Sp. z o.o.;NIC: 07 12 ;VIE: 0307 2415 2601 ;Wygaśnięcie prawa ochronnego;
018243;013515;1925-01-26;;;11/1926;1926-11-30;RINSO;S;Unilever N.V.;Rotterdam;NL;"Patpol" Sp. z o.o.;NIC: 02 03 04 34 ;;Wygaśnięcie prawa ochronnego;
018318;013098;1926-02-05;;;09/1926;1926-09-30;SANDEMAN;S;PORTUGAL VENTURE LIMITED;LONDYN;GB;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 33 ;;Wygaśnięcie prawa ochronnego;
018360;012944;1925-02-13;;;08/1926;1926-08-31;MUSTAD;S;O.MUSTAD AND SÖN A/S;GJOVIK;NO;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 06 ;;Wygaśnięcie prawa ochronnego;
018446;012993;1925-03-06;;;09/1926;1926-09-30;CORAMINE;S;Novartis AG;Bazylea;CH;"Polservice" Sp. z o.o.;NIC: 01 05 ;;Wygaśnięcie prawa ochronnego;
018546;014466;1925-03-25;;;03/1927;1927-03-31;ETHYL;S;ETHYL CORPORATION /VIRGINIA CORPORATION/;RICHMOND;US;Agnieszka Skrzypczak;NIC: 04 ;;Udzielenie prawa;
018547;014831;1925-03-25;;;05/1927;1927-05-31;ETHYL;S;ETHYL CORPORATION /VIRGINIA CORPORATION/;RICHMOND;US;Agniewszka Skrzypczak;NIC: 04 ;;Udzielenie prawa;
018584;013427;1925-04-02;;;10/1926;1926-10-30;SINGER;SG;THE SINGER COMPANY LIMITED;DOUGLAS;GB;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 20 ;VIE: 2705 ;Udzielenie prawa;
018631;013240;1925-04-10;;;10/1926;1926-10-30;SINGER;SG;THE SINGER COMPANY LIMITED;DOUGLAS;GB;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 06 19 20 21 ;VIE: 2705 ;Udzielenie prawa;
018725;013440;1925-05-05;;;10/1926;1926-10-30;CHICLETS;SG;INTERCONTINENTAL GREAT BRANDS LLC;EAST HANOVER;US;Kulikowska Wanda;NIC: 30 ;VIE: 2817 ;Udzielenie prawa;
018830;015589;1925-06-03;;;;;L'ORIGAN;S;Coty Deutschland GmbH;Mainz;DE;Patpol Spółka z o.o.;NIC: 03 ;;Wygaśnięcie prawa ochronnego;
018876;013211;1925-06-18;;;10/1936;1936-10-31;CUTEX;S;REVLON CONSUMER PRODUCTS CORPORATION;NOWY JORK;US;Aleksandra Kryśka;NIC: 03 ;;Udzielenie prawa;
018879;012976;1925-06-18;;;09/1926;1926-09-30;CIBALGINE;S;Novartis AG;Bazylea;CH;"Polservice"  Sp. z o.o.;NIC: 05 ;;Wygaśnięcie prawa ochronnego;
018956;013351;1925-07-04;;;;;DEVILBISS;S;The DeVilbiss Company;Tole;US;PHZ "Polservice";NIC: 08 09 11 17 ;;Wygaśnięcie prawa ochronnego;
019125;013378;1925-08-27;;;10/1926;1926-10-30;VEET;S;RECKITT & COLMAN (OVERSEAS) LIMITED;HULL;GB;Aleksandra Kryśka;NIC: 03 ;;Udzielenie prawa;
019204;013070;1925-09-29;;;09/1926;1926-09-30;APEXIOR;S;UB International Limited;Dagenham;GB;PHZ "Polservice";NIC: 02 ;;Wygaśnięcie prawa ochronnego;
019212;014891;1925-09-30;;;;;OXO;S;Unilever N.V.;Rotterdam;NL;Kulikowska & Kulikowski;NIC: 05 29 30 31 ;;Wygaśnięcie prawa ochronnego;
019214;013379;1926-09-21;;;;;LUX;S;Aktiebolaget Electrolux;Sztokholm;SE;Polservice Sp. z o.o.;NIC: 02 03 05 06 07 09 10 11 12 14 17 18 19 21 22 ;;Wygaśnięcie prawa ochronnego;
019229;013171;1925-10-10;;;;;TELETYPE;SG;AT & T Corp (new York corporation);Nowy Jork;US;"Patpol" Sp.z o.o.;NIC: 09 ;VIE: 2005 2604 2705 ;Wygaśnięcie prawa ochronnego;
019398;014377;1925-11-19;;;;;LAKTOGENE;S;Société des Produits Nestlé S.A.;Vevey;CH;PHZ "Polservice";NIC: 05 29 30 ;;Wygaśnięcie prawa ochronnego;
019461;013553;1925-12-15;;;11/1926;1926-11-30;SIKA;S;SIKA AG;BAAR;CH;Bożenna Lubacz PATPOL Spółka z o.o. Przemysław Samoder;NIC: 04 ;;Udzielenie prawa;
019497;013216;1925-12-23;;;;;UNDERWOOD;S;Olivetti Corporation of America;Nowy Jork;US;PHZ "Polservice";NIC: 16 ;;Wygaśnięcie prawa ochronnego;
019505;014317;1925-12-24;;;02/1927;1927-02-28;TOBLERONE;S;MONDELEZ EUROPE GMBH;GLATTPARK (OPFIKON);CH;Wanda Kulikowska;NIC: 29 30 ;;Udzielenie prawa;
019507;014319;1925-12-24;;;02/1927;1927-02-28;TOBLER;SG;MONDELEZ EUROPE GMBH;GLATTPARK (OPFIKON);CH;Wanda Kulikowska Kulikowska i Kulikowski;NIC: 29 30 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
019519;013596;1925-12-30;;;11/1926;1926-11-30;ELECTROLA;S;EMI (IP) LIMITED;LONDYN;GB;Magdalena Pietrosiuk Jan Wierzchoń i Partnerzy-Biuro Patentów i Znaków Towarowych, Sp.j,;NIC: 09 15 ;;Wygaśnięcie prawa ochronnego;
019681;013097;1926-02-16;;;09/1926;1926-09-30;WATERMAN'S;S;EUROPE BRANDS S.A R.L.;LUKSEMBURG;LU;Magdalena Pietrosiuk;NIC: 16 ;;Udzielenie prawa;
019715;014766;1926-02-23;;;;;RCA;SG;GENERAL ELECTRIC COMPANY;Schenectady;US;"Patpol" Sp.z o.o.;NIC: 09 ;VIE: 2601 2705 ;Wygaśnięcie prawa ochronnego;
019749;016750;1926-03-02;;;05/2006;2006-05-31;ERASMIC;S;Lever B.V.;Vlardingen;NL;"Patpol" Sp. z o.o.;NIC: 03 ;;Wygaśnięcie prawa ochronnego;
019750;014862;1926-03-02;;;;;ERASMIC;S;Lever B.V.;Vlardingen;NL;"Patpol" Sp. z o.o.;NIC: 03 04 34 ;;Wygaśnięcie prawa ochronnego;
019796;016311;1926-03-12;;;04/1928;1928-04-30;CADILLAC;SG;GENERAL MOTORS LLC;DETROIT;US;;NIC: 12 ;VIE: 2705 ;Udzielenie prawa;
019797;015419;1926-03-12;;;10/1927;1927-10-31;CHEVROLET;SG;GENERAL MOTORS LLC;DETROIT;US;;NIC: 12 ;VIE: 2413 2507 2705 ;Udzielenie prawa;
019798;016312;1926-03-12;;;04/1928;1928-04-30;BUICK;SG;GENERAL MOTORS LLC;DETROIT;US;;NIC: 12 ;VIE: 2705 ;Udzielenie prawa;
019920;013871;1926-04-01;;;12/1926;1926-12-31;COCA-COLA;SG;THE COCA-COLA COMPANY;ATLANTA;US;;NIC: 32 ;VIE: 2705 ;Udzielenie prawa;
019944;013647;1926-04-10;;;;;W;SG;Hiram Walker & Sons Limited;Walkerville;CA;"Patpol" Sp. z o.o.;NIC: 33 ;VIE: 2401 2503 2507 2601 2604 2705 ;Wygaśnięcie prawa ochronnego;
019983;013988;1926-04-22;;;01/1927;1927-01-31;NIFE;S;SAFT AKTIEBOLAG;OSKARSHAMN;SE;Agnieszka Skrzypczak;NIC: 11 ;;Udzielenie prawa;
020050;014157;1926-05-06;;;02/1927;1927-02-28;CIBACET;S;Ciba Specialty Chemicals Holding Inc.;Bazylea;CH;PHZ "Polservice";NIC: 02 ;;Wygaśnięcie prawa ochronnego;
020052;014408;1926-05-06;;;03/1927;1927-03-31;NEOLAN;S;HUNTSMAN ADVANCED MATERIALS (SWITZERLAND) GMBH;BAZYLEA;CH;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 01 02 ;;Wygaśnięcie prawa ochronnego;
020102;014033;1926-05-15;;;01/1927;1927-01-31;THE RALEIGH;SG;Swissbike Vertriebs GmbH;Alpnach Dorf;CH;;NIC: 12 ;VIE: 0307 2005 2705 ;Udzielenie prawa;
020138;013957;1926-05-26;;;01/1927;1927-01-31;MAZDA;S;Compagnie Philips Eclairage;Ivry-sur-Seine;FR;"Patpol" Sp. z o.o.;NIC: 11 ;;Wygaśnięcie prawa ochronnego;
020328;014872;1926-06-26;;;;;LISTERINE;S;Warner-Lambert Company;New Jersey;US;PHZ "Polservice";NIC: 03 05 ;;Wygaśnięcie prawa ochronnego;
020400;014621;1926-07-14;;;;;MARCONI;S;The Marconi Company Limited;Londyn;GB;PIHZ "Patpol";NIC: 09 ;;Wygaśnięcie prawa ochronnego;
020422;018678;1926-07-19;;;;;PEPSODENT;SG;Unilever N.V.;Rotterdam;NL;Kulikowska & Kulikowski;NIC: 03 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
020459;014339;1926-07-27;;;02/1927;1927-02-28;NICHOLSON;SG;COOPER BRANDS, INC.;HOUSTON;US;Monika Anusiewicz PATPOL Spółka z o.o.;NIC: 08 ;VIE: 1407 2705 ;Wygaśnięcie prawa ochronnego;
020797;015334;1926-10-01;;;;;LEKEROL;S;Leaf Sverige Aktiebolag;Gävle;SE;PHZ "Polservice";NIC: 03 05 29 30 ;;Wygaśnięcie prawa ochronnego;
020809;014808;1926-10-02;;;;;AGAROL;SG;Warner-Lambert Company;Morris Plains;US;PHZ "Polservice";NIC: 05 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
020896;014796;1926-10-26;;;;;KOTEX;S;Kimberly - Clark Corporation;Neenah;US;PHZ "Polservice";NIC: 05 ;;Wygaśnięcie prawa ochronnego;
021069;014905;1926-11-27;;;05/1927;1927-05-31;RENOLD;S;RENOLD PUBLIC LIMITED COMPANY;MANCHESTER;GB;"Patpol" Sp.z o.o.;NIC: 07 ;;Wygaśnięcie prawa ochronnego;
021448;015406;1927-02-04;;;10/1927;1927-10-31;PONTIAC;S;GENERAL MOTORS LLC;DETROIT;US;;NIC: 12 ;;Udzielenie prawa;
021464;015276;1927-02-07;;;;;SRO;S;SRO - Kugellagerwerke J. Schmid - Roost AG;Zürich;CH;PHZ "Polservice";NIC: 06 ;;Wygaśnięcie prawa ochronnego;
021471;015728;1927-02-08;;;12/1927;1927-12-31;LANASOL;S;HUNTSMAN ADVANCED MATERIALS (SWITZERLAND) GMBH;BAZYLEA;CH;Agnieszka Skrzypczak;NIC: 02 ;;Udzielenie prawa;
021526;015211;1927-02-16;;;08/1927;1927-08-31;CASTROL;S;CASTROL LIMITED;SWINDON;GB;Aleksandra Kryśka;NIC: 04 ;;Udzielenie prawa;
021619;015868;1927-03-02;;;01/1928;1928-01-31;CAMEL;SG;JAPAN TOBACCO INC.;TOKIO;JP;Michał Sosnowski;NIC: 34 ;VIE: 0301 0606 0701 0705 2705 ;Udzielenie prawa;
